step,waiting_vehicles,avg_speed,queue_length,throughput
0,1,12.50,1,0
1,0,12.55,0,0
2,1,11.26,1,0
3,1,10.06,1,0
4,1,8.89,1,0
5,0,9.18,0,0
6,0,9.48,0,0
7,1,8.42,1,0
8,3,6.76,3,0
9,0,7.18,0,0
10,0,7.64,0,0
11,0,8.08,0,0
12,3,6.96,3,0
13,0,7.43,0,0
14,0,7.78,0,0
15,0,8.05,0,0
16,2,7.80,2,0
17,3,7.30,3,0
18,1,6.94,1,0
19,3,6.93,3,0
20,4,7.29,4,0
21,6,7.22,6,0
22,5,6.56,5,0
23,4,6.43,4,0
24,5,6.40,5,0
25,7,6.25,7,0
26,8,6.03,8,0
27,7,6.00,7,0
28,8,4.45,8,0
29,8,4.78,8,0
30,9,6.00,9,0
31,8,5.99,8,0
32,9,5.86,9,0
33,11,4.83,11,2
34,11,5.16,11,0
35,10,5.35,10,0
36,12,5.16,12,0
37,13,5.34,13,1
38,15,5.57,15,0
39,13,5.88,13,0
40,14,5.98,14,0
41,16,6.20,16,0
42,16,6.19,16,0
43,17,6.19,17,0
44,17,5.31,17,0
45,18,5.61,18,0
46,20,5.80,20,1
47,22,5.90,22,0
48,22,5.48,22,0
49,20,5.19,20,0
50,23,5.01,23,1
51,19,3.75,19,0
52,19,3.69,19,0
53,20,2.76,20,1
54,17,3.03,17,0
55,18,2.21,18,0
56,15,2.49,15,0
57,16,3.05,16,0
58,13,3.39,13,0
59,15,3.28,15,0
60,15,3.23,15,0
61,14,3.41,14,0
62,16,3.61,16,0
63,15,2.74,15,0
64,15,2.21,15,0
65,18,1.98,18,1
66,16,1.97,16,1
67,22,2.06,22,1
68,20,2.27,20,0
69,21,2.44,21,2
70,20,2.43,20,0
71,22,2.01,22,3
72,21,2.18,21,0
73,23,2.13,23,1
74,22,1.94,22,1
75,26,1.63,26,0
76,27,1.75,27,2
77,25,2.05,25,0
78,27,1.77,27,2
79,26,1.79,26,0
80,28,1.40,28,0
81,26,1.41,26,2
82,23,1.60,23,1
83,23,1.66,23,0
84,22,1.62,22,1
85,23,1.62,23,0
86,24,1.89,24,1
87,24,1.95,24,0
88,25,2.06,25,0
89,26,1.98,26,1
90,27,2.07,27,0
91,28,3.03,28,0
92,32,2.99,32,0
93,31,2.90,31,0
94,33,2.88,33,0
95,34,3.04,34,0
96,35,3.88,35,1
97,35,3.87,35,1
98,36,3.83,36,2
99,38,3.64,38,0
100,33,3.58,33,0
101,31,3.56,31,2
102,30,3.56,30,0
103,26,3.75,26,2
104,26,3.93,26,0
105,23,4.07,23,1
106,24,4.24,24,0
107,25,4.40,25,1
108,25,4.55,25,0
109,24,4.73,24,0
110,26,3.60,26,0
111,26,3.97,26,0
112,29,3.06,29,0
113,28,3.95,28,0
114,29,4.41,29,0
115,30,4.55,30,1
116,29,4.89,29,3
117,30,6.12,30,0
118,30,6.33,30,4
119,30,6.46,30,0
120,31,6.53,31,4
121,31,7.23,31,0
122,31,6.85,31,3
123,32,6.29,32,2
124,33,6.10,33,2
125,33,6.07,33,2
126,35,5.76,35,0
127,34,5.63,34,3
128,36,5.66,36,0
129,36,5.69,36,1
130,34,5.70,34,0
131,32,5.70,32,1
132,30,5.79,30,0
133,28,5.90,28,0
134,27,6.02,27,0
135,26,6.11,26,0
136,26,6.20,26,0
137,25,6.30,25,0
138,24,6.35,24,0
139,24,6.32,24,0
140,25,6.48,25,0
141,25,7.48,25,0
142,25,7.52,25,0
143,25,7.51,25,0
144,25,7.41,25,0
145,25,7.48,25,0
146,26,7.55,26,2
147,26,7.57,26,0
148,26,7.64,26,1
149,26,7.66,26,1
150,24,7.69,24,0
151,22,7.24,22,2
152,21,6.99,21,1
153,19,7.02,19,1
154,17,7.07,17,0
155,15,7.07,15,1
156,14,7.13,14,0
157,12,7.21,12,1
158,11,7.21,11,1
159,9,7.29,9,0
160,8,7.41,8,0
161,7,7.43,7,0
162,6,7.55,6,0
163,6,7.64,6,0
164,6,7.78,6,0
165,6,7.93,6,1
166,6,7.98,6,1
167,6,8.11,6,1
168,6,8.18,6,1
169,6,8.27,6,2
170,6,8.30,6,0
171,6,8.39,6,1
172,6,8.55,6,1
173,6,8.65,6,0
174,6,9.15,6,1
175,6,9.13,6,1
176,6,9.10,6,2
177,6,9.72,6,0
178,6,9.72,6,1
179,6,9.72,6,1
180,4,9.83,4,2
181,3,11.14,3,0
182,2,11.19,2,0
183,1,11.25,1,2
184,1,11.32,1,1
185,1,11.34,1,1
186,1,11.42,1,0
187,1,11.49,1,1
188,1,11.52,1,0
189,1,11.60,1,0
190,1,12.50,1,0
191,1,12.50,1,0
192,1,12.50,1,0
193,1,12.50,1,0
194,1,12.50,1,0
195,1,12.50,1,0
196,1,12.50,1,2
197,1,12.50,1,1
198,1,12.50,1,0
199,1,12.50,1,1
200,1,12.50,1,0
201,1,12.50,1,0
202,1,12.50,1,1
203,1,12.50,1,0
204,1,12.50,1,0
205,1,12.50,1,0
206,1,12.50,1,0
207,1,12.50,1,0
208,1,12.50,1,0
209,1,12.50,1,0
210,1,12.50,1,0
211,1,12.50,1,0
212,1,12.50,1,0
213,1,12.50,1,0
214,1,12.50,1,0
215,1,12.50,1,0
216,1,12.50,1,0
217,1,12.50,1,0
218,1,12.50,1,0
219,1,12.50,1,0
220,1,12.50,1,0
221,1,12.50,1,0
222,1,12.50,1,0
223,1,12.50,1,0
224,1,12.50,1,0
225,1,12.50,1,0
226,1,12.50,1,0
227,1,12.50,1,0
228,1,12.50,1,0
229,1,12.50,1,0
230,0,12.60,0,0
231,0,13.89,0,0
232,0,13.89,0,0
233,0,13.89,0,0
234,0,13.89,0,0
235,0,13.89,0,0
236,0,13.89,0,0
237,0,13.89,0,0
238,0,13.89,0,0
239,0,13.89,0,0
240,0,13.89,0,0
241,0,13.89,0,0
242,0,13.89,0,0
243,0,13.89,0,0
244,0,13.89,0,0
245,0,13.89,0,0
246,0,13.89,0,1
